beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name	odds_ratio
-0.4027	Diseases of the musculoskeletal system and connective tissue	M13_PATELLADISLOCATIO	Recurrent dislocation of patella	0.004517	M13_PATELLADISLOCATIO	Recurrent dislocation of patella	Diseases of the musculoskeletal system and connective tissue	0.668512623030409
0.3648	Factors influencing health status and contact with health services	Z21_FAMILY_HISTORY_MALIG_NEOPLASM	Family history of malignant neoplasm	0.00457	Z21_FAMILY_HISTORY_MALIG_NEOPLASM	Family history of malignant neoplasm	Factors influencing health status and contact with health services	1.44022593415595
0.1362	Diseases of the musculoskeletal system and connective tissue	M13_HALLUXVALGUS	Hallux valgus (acquired)	0.004958	M13_HALLUXVALGUS	Hallux valgus (acquired)	Diseases of the musculoskeletal system and connective tissue	1.14591105288875
0.4617	Neoplasms from hospital discharges	CD2_BENIGN_SKIN_TRUNK	Benign neoplasm: Skin of trunk	0.005334	CD2_BENIGN_SKIN_TRUNK	Benign neoplasm: Skin of trunk	Neoplasms from hospital discharges	1.58676920105352
0.4612	Neoplasms from hospital discharges	CD2_BENIGN_SKIN_TRUNK_EXALLC	Benign neoplasm: Skin of trunk (other cancers excluded from controls)	0.005501	CD2_BENIGN_SKIN_TRUNK_EXALLC	Benign neoplasm: Skin of trunk (other cancers excluded from controls)	Neoplasms from hospital discharges	1.58597601476609
0.4257	Diseases of the digestive system	K11_CD_STRICT2	Crohn disease ( strict definition, require KELA, min 2 HDR)	0.005755	K11_CD_STRICT2	Crohn disease ( strict definition, require KELA, min 2 HDR)	Diseases of the digestive system	1.53066150779425
0.6437	Factors influencing health status and contact with health services	Z21_ATTN_ARTIF_OPENI	Attention to artificial openings	0.005887	Z21_ATTN_ARTIF_OPENI	Attention to artificial openings	Factors influencing health status and contact with health services	1.90351085599523
-0.2537	Neoplasms from hospital discharges	CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (other cancers excluded from controls)	0.00593	CD2_BENIGN_RECTUM_EXALLC	Benign neoplasm: Rectum (other cancers excluded from controls)	Neoplasms from hospital discharges	0.775924544496712
-0.2497	Neoplasms from hospital discharges	CD2_BENIGN_RECTUM	Benign neoplasm: Rectum	0.0063	CD2_BENIGN_RECTUM	Benign neoplasm: Rectum	Neoplasms from hospital discharges	0.779034458355866
0.1003	Diabetes endpoints	T2D_WIDE	Type 2 diabetes, wide definition	0.00657	T2D_WIDE	Type 2 diabetes, wide definition	Diabetes endpoints	1.10550251908874
0.5812	Diseases of the skin and subcutaneous tissue	L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue	0.006597	L12_GRANULOMATOUSSKIN	Granulomatous disorders of skin and subcutaneous tissue	Diseases of the skin and subcutaneous tissue	1.78818296332918
0.6067	Diseases of the musculoskeletal system and connective tissue	M13_GLUTEALTEND	Gluteal tendinitis	0.007168	M13_GLUTEALTEND	Gluteal tendinitis	Diseases of the musculoskeletal system and connective tissue	1.83436798530045
0.0966	Diseases of the circulatory system	I9_VARICVE	Varicose veins	0.007236	I9_VARICVE	Varicose veins	Diseases of the circulatory system	1.10141971760864
0.1734	Factors influencing health status and contact with health services	Z21_PROCREATIVE_MANAG	Procreative management	0.007511	Z21_PROCREATIVE_MANAG	Procreative management	Factors influencing health status and contact with health services	1.18934174664804
-0.5444	Interstitial lung disease endpoints	ILD_SYST_AUTO	ILD related to systemic autoimmune disease	0.007813	ILD_SYST_AUTO	ILD related to systemic autoimmune disease	Interstitial lung disease endpoints	0.580189792802249
-0.3803	Diseases of the musculoskeletal system and connective tissue	M13_OSTEOMYELITIS	Osteomyelitis	0.008015	M13_OSTEOMYELITIS	Osteomyelitis	Diseases of the musculoskeletal system and connective tissue	0.683656281560278
-0.2263	Neurological endpoints	AD_LO	Alzheimer's disease (Late onset)	0.008202	AD_LO	Alzheimer's disease (Late onset)	Neurological endpoints	0.7974788221289
0.1478	Diseases of the circulatory system	I9_VEINSOTH	Other disorders of veins	0.00826	I9_VEINSOTH	Other disorders of veins	Diseases of the circulatory system	1.15928101697241
0.1029	Endocrine, nutritional and metabolic diseases	E4_DM2NOCOMP	Type 2 diabetes without complications	0.009477	E4_DM2NOCOMP	Type 2 diabetes without complications	Endocrine, nutritional and metabolic diseases	1.10838056547737
0.2407	Injury, poisoning and certain other consequences of external causes	ST19_SUPERF_INJURY_ABDOMEN_LOWER_BACK_PELVIS	Superficial injury of abdomen, lower back and pelvis	0.009622	ST19_SUPERF_INJURY_ABDOMEN_LOWER_BACK_PELVIS	Superficial injury of abdomen, lower back and pelvis	Injury, poisoning and certain other consequences of external causes	1.27213933625536
0.5874	Injury, poisoning and certain other consequences of external causes	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_LUMBAR_SPINE_PELVIS	Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis	0.009702	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_LUMBAR_SPINE_PELVIS	Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis	Injury, poisoning and certain other consequences of external causes	1.79930413771762
-0.275	Diseases of the ear and mastoid process	H8_PERFORATION	Perforation of tympanic membrane	0.009883	H8_PERFORATION	Perforation of tympanic membrane	Diseases of the ear and mastoid process	0.759572123224969
0.4479	Injury, poisoning and certain other consequences of external causes	ST19_INJURY_NERVES_WRIST_HAND_LEVEL	Injury of nerves at wrist and hand level	0.009957	ST19_INJURY_NERVES_WRIST_HAND_LEVEL	Injury of nerves at wrist and hand level	Injury, poisoning and certain other consequences of external causes	1.56502218560959
-0.3697	Diseases of the musculoskeletal system and connective tissue	M13_POSTOPMUSCULOSKE	Postprocedural musculoskeletal disorders, not elsewhere classified	0.01031	M13_POSTOPMUSCULOSKE	Postprocedural musculoskeletal disorders, not elsewhere classified	Diseases of the musculoskeletal system and connective tissue	0.690941582022699
0.2444	Rheuma endpoints	GOUT_NOS	Gout, unspecified	0.01043	GOUT_NOS	Gout, unspecified	Rheuma endpoints	1.27685497034281
0.3361	Other	RHINITIS_VASOMOTOR	Vasomotor rhinitis (mode)	0.01054	RHINITIS_VASOMOTOR	Vasomotor rhinitis (mode)	Other	1.39947896571034
0.2985	Diseases of the ear and mastoid process	H8_EXT_NAS	Otitis externa, unspecified	0.01078	H8_EXT_NAS	Otitis externa, unspecified	Diseases of the ear and mastoid process	1.34783553719679
-0.1477	Psychiatric endpoints	KRA_PSY_DEMENTIA	Any dementia	0.01126	KRA_PSY_DEMENTIA	Any dementia	Psychiatric endpoints	0.862689883089809
0.3132	Diseases of the circulatory system	I9_VARICVESOTH	Varicose veins of other sites	0.01259	I9_VARICVESOTH	Varicose veins of other sites	Diseases of the circulatory system	1.36779506268607
-0.4296	Diseases of the nervous system	FE_MODE	Focal epilepsy	0.01263	FE_MODE	Focal epilepsy	Diseases of the nervous system	0.650769350408873
-0.4734	Injury, poisoning and certain other consequences of external causes	ST19_OTHER_UNSPE_INJURI_HEAD	Other and unspecified injuries of head	0.01368	ST19_OTHER_UNSPE_INJURI_HEAD	Other and unspecified injuries of head	Injury, poisoning and certain other consequences of external causes	0.622880868992947
0.113	Diseases of the musculoskeletal system and connective tissue	M13_ARTHTROSIS_COX_PRIM_ICD10	Coxarthrosis, primary	0.01399	M13_ARTHTROSIS_COX_PRIM_ICD10	Coxarthrosis, primary	Diseases of the musculoskeletal system and connective tissue	1.11963193294859
-0.1125	Mental and behavioural disorders	F5_ORGANIC	Organic, including symptomatic, mental disorders	0.01418	F5_ORGANIC	Organic, including symptomatic, mental disorders	Mental and behavioural disorders	0.893597347108516
-0.4013	Diseases of the circulatory system	I9_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	0.01444	I9_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	Diseases of the circulatory system	0.669449196150863
-0.1445	Psychiatric endpoints	KRA_PSY_DEMENTIA_EXMORE	Any dementia (more controls excluded)	0.0152	KRA_PSY_DEMENTIA_EXMORE	Any dementia (more controls excluded)	Psychiatric endpoints	0.865454912403107
-0.6685	Diseases of the skin and subcutaneous tissue	L12_ERYT_INTERTRIG	Erythema intertrigo	0.01559	L12_ERYT_INTERTRIG	Erythema intertrigo	Diseases of the skin and subcutaneous tissue	0.512476716613316
0.0929	Diseases of the digestive system	K11_DIVERTIC	Diverticular disease of intestine	0.01599	K11_DIVERTIC	Diverticular disease of intestine	Diseases of the digestive system	1.09735199458168
0.2509	Diseases of the nervous system	G6_SLEEPDISOTH	Other sleepdisorders	0.0165	G6_SLEEPDISOTH	Other sleepdisorders	Diseases of the nervous system	1.2851815597491
-0.3021	Diseases of the nervous system	G6_POSTOPNEURO	Postprocedural disorders of nervous system	0.01702	G6_POSTOPNEURO	Postprocedural disorders of nervous system	Diseases of the nervous system	0.73926413477961
-0.5216	Injury, poisoning and certain other consequences of external causes	ST19_SEQUEL_INJURI_NECK_TRUNK	Sequelae of injuries of neck and trunk	0.01742	ST19_SEQUEL_INJURI_NECK_TRUNK	Sequelae of injuries of neck and trunk	Injury, poisoning and certain other consequences of external causes	0.593570075674046
-0.3906	Diseases of the nervous system	G6_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	0.01797	G6_VASCSYND	Vascular syndromes of brain in cerebrovascular disorders	Diseases of the nervous system	0.676650762219333
-0.5769	Neoplasms from hospital discharges	CD2_BENIGN_DUODENUM_EXALLC	Benign neoplasm: Duodenum (other cancers excluded from controls)	0.01816	CD2_BENIGN_DUODENUM_EXALLC	Benign neoplasm: Duodenum (other cancers excluded from controls)	Neoplasms from hospital discharges	0.561636744595551
-0.149	Diseases of the circulatory system	I9_PHLETHROMBDVTLOW	DVT of lower extremities	0.01826	I9_PHLETHROMBDVTLOW	DVT of lower extremities	Diseases of the circulatory system	0.861569114898958
0.7738	Neoplasms from hospital discharges	CD2_INSITU_SKIN_UPPERLIMB	Carcinoma in situ of skin of upper limb, including shoulder	0.01838	CD2_INSITU_SKIN_UPPERLIMB	Carcinoma in situ of skin of upper limb, including shoulder	Neoplasms from hospital discharges	2.16798897883221
-0.5736	Neoplasms from hospital discharges	CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum	0.01871	CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum	Neoplasms from hospital discharges	0.563493207331491
-0.3813	Injury, poisoning and certain other consequences of external causes	ST19_FRACT_NECK	Fracture of neck	0.01935	ST19_FRACT_NECK	Fracture of neck	Injury, poisoning and certain other consequences of external causes	0.682972966992945
0.2402	Factors influencing health status and contact with health services	Z21_SPECIAL_SCREEN_EXAM_OTH_DISEA_DISORD	Special screening examination for other diseases and disorders	0.01936	Z21_SPECIAL_SCREEN_EXAM_OTH_DISEA_DISORD	Special screening examination for other diseases and disorders	Factors influencing health status and contact with health services	1.27150342557815
-0.0658	Diseases of the digestive system	K11_HERNIA	Hernia	0.01978	K11_HERNIA	Hernia	Diseases of the digestive system	0.936318109188343
0.6663	Other	P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD	Respiratory and cardiovascular disorders specific to the perinatal period	0.02012	P16_RESPI_CARDIOV_DISORD_SPECIFIC_PERINA_PERIOD	Respiratory and cardiovascular disorders specific to the perinatal period	Other	1.9470200028213
0.5322	Diseases of the skin and subcutaneous tissue	L12_PRURIGONOD	Prurigo nodularis	0.02062	L12_PRURIGONOD	Prurigo nodularis	Diseases of the skin and subcutaneous tissue	1.7026740741304
0.7544	Neoplasms from hospital discharges	CD2_INSITU_SKIN_UPPERLIMB_EXALLC	Carcinoma in situ of skin of upper limb, including shoulder (other cancers excluded from controls)	0.02082	CD2_INSITU_SKIN_UPPERLIMB_EXALLC	Carcinoma in situ of skin of upper limb, including shoulder (other cancers excluded from controls)	Neoplasms from hospital discharges	2.12633533933478
-0.4053	Diseases of the skin and subcutaneous tissue	L12_PSORI_PUSTUPALM	Pustulosis palmaris et plantaris	0.02193	L12_PSORI_PUSTUPALM	Pustulosis palmaris et plantaris	Diseases of the skin and subcutaneous tissue	0.666776747826172
0.0418	Diseases of the genitourinary system	N14_GENITOURINARY	Genitourinary diseases	0.02206	N14_GENITOURINARY	Genitourinary diseases	Diseases of the genitourinary system	1.04268592071151
-0.1473	Diseases of the skin and subcutaneous tissue	L12_PSORIASIS	Psoriasis	0.02253	L12_PSORIASIS	Psoriasis	Diseases of the skin and subcutaneous tissue	0.863035028067439
-0.4924	Diseases of the genitourinary system	N14_ACUTENEPHRITIC	Acute nephritic syndrome	0.02286	N14_ACUTENEPHRITIC	Acute nephritic syndrome	Diseases of the genitourinary system	0.611157853791744
0.0966	Diseases of the genitourinary system	N14_OVARYCYST	Ovarian cyst	0.02421	N14_OVARYCYST	Ovarian cyst	Diseases of the genitourinary system	1.10141971760864
-0.1931	Neoplasms from hospital discharges	CD2_BENIGN_RECTUM_ANAL_EXALLC	Benign neoplasm: Rectum, anus and anal canal (other cancers excluded from controls)	0.02453	CD2_BENIGN_RECTUM_ANAL_EXALLC	Benign neoplasm: Rectum, anus and anal canal (other cancers excluded from controls)	Neoplasms from hospital discharges	0.824399530063967
-0.145	Diseases of the nervous system	G6_NEURODEG	Other degenerative diseases of the nervous system	0.025	G6_NEURODEG	Other degenerative diseases of the nervous system	Diseases of the nervous system	0.865022293110741
-0.209	Neurological endpoints	AD_LO_EXMORE	Alzheimer's disease (Late onset) (more controls excluded)	0.02522	AD_LO_EXMORE	Alzheimer's disease (Late onset) (more controls excluded)	Neurological endpoints	0.811395235643411
-0.1387	Injury, poisoning and certain other consequences of external causes	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_WRIST_HAND_LEVEL	Dislocation, sprain and strain of joints and ligaments at wrist and hand level	0.02633	ST19_DISLO_SPRAIN_STRAIN_JOINTS_LIGAM_WRIST_HAND_LEVEL	Dislocation, sprain and strain of joints and ligaments at wrist and hand level	Injury, poisoning and certain other consequences of external causes	0.870489136030967
-0.1897	Neoplasms from hospital discharges	CD2_BENIGN_RECTUM_ANAL	Benign neoplasm: Rectum, anus and anal canal	0.02646	CD2_BENIGN_RECTUM_ANAL	Benign neoplasm: Rectum, anus and anal canal	Neoplasms from hospital discharges	0.827207258900428
-0.345	Diseases of the musculoskeletal system and connective tissue	M13_FOREIGNBODY	Residual foreign body in soft tissue	0.02673	M13_FOREIGNBODY	Residual foreign body in soft tissue	Diseases of the musculoskeletal system and connective tissue	0.7082203534678
-0.6636	Factors influencing health status and contact with health services	Z21_COUNSELLI_RELATED_SEXUAL_ATTIT_BEHVI_ORIEN	Counselling related to sexual attitude, behaviour and orientation	0.02694	Z21_COUNSELLI_RELATED_SEXUAL_ATTIT_BEHVI_ORIEN	Counselling related to sexual attitude, behaviour and orientation	Factors influencing health status and contact with health services	0.514994014868755
-0.1642	Neoplasms from hospital discharges	CD2_BENIGN_COLON_NOS_EXALLC	Benign neoplasm: Colon, unspecified (other cancers excluded from controls)	0.02699	CD2_BENIGN_COLON_NOS_EXALLC	Benign neoplasm: Colon, unspecified (other cancers excluded from controls)	Neoplasms from hospital discharges	0.84857229044954
-0.296	Diseases of the nervous system	FE	Focal epilepsy	0.02728	FE	Focal epilepsy	Diseases of the nervous system	0.74378742802018
-0.1193	Mental and behavioural disorders	F5_DEMENTIA	Dementia	0.02777	F5_DEMENTIA	Dementia	Mental and behavioural disorders	0.887541498369078
0.1173	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_ABDOMEN_LOWER_BACK_LUMBAR_SPINE_PELVIS	Injuries to the abdomen, lower back, lumbar spine and pelvis	0.02798	ST19_INJURI_ABDOMEN_LOWER_BACK_LUMBAR_SPINE_PELVIS	Injuries to the abdomen, lower back, lumbar spine and pelvis	Injury, poisoning and certain other consequences of external causes	1.12445671610988
0.5455	Psychiatric endpoints	KRA_PSY_CODUCTEMOT_EXMORE	Mixed disorders of conduct and emotions (more controls excluded)	0.02818	KRA_PSY_CODUCTEMOT_EXMORE	Mixed disorders of conduct and emotions (more controls excluded)	Psychiatric endpoints	1.72547090217961
0.4656	Neoplasms from hospital discharges	CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney	0.02845	CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney	Neoplasms from hospital discharges	1.59296968402031
0.098	Rheuma endpoints	COX_ARTHROSIS	Coxarthrosis [arthrosis of hip](FG)	0.02855	COX_ARTHROSIS	Coxarthrosis [arthrosis of hip](FG)	Rheuma endpoints	1.10296278510851
-0.5984	Injury, poisoning and certain other consequences of external causes	ST19_OPEN_WOUND_SHOUL_UPPER_ARM	Open wound of shoulder and upper arm	0.02882	ST19_OPEN_WOUND_SHOUL_UPPER_ARM	Open wound of shoulder and upper arm	Injury, poisoning and certain other consequences of external causes	0.549690437565476
0.4639	Neoplasms from hospital discharges	CD2_BENIGN_KIDNEY_EXALLC	Benign neoplasm: Kidney (other cancers excluded from controls)	0.02904	CD2_BENIGN_KIDNEY_EXALLC	Benign neoplasm: Kidney (other cancers excluded from controls)	Neoplasms from hospital discharges	1.59026393609485
0.4769	Injury, poisoning and certain other consequences of external causes	ST19_COMPLICATIO_OTHER_INTERNAL_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of other internal prosthetic devices, implants and grafts	0.0292	ST19_COMPLICATIO_OTHER_INTERNAL_PROSTHET_DEVICES_IMPLANTS_GRAFTS	Complications of other internal prosthetic devices, implants and grafts	Injury, poisoning and certain other consequences of external causes	1.61107232876573
0.3816	Diseases of the genitourinary system	N14_OTHINFVAGVULV	Other inflammation of vagina/vulva	0.02928	N14_OTHINFVAGVULV	Other inflammation of vagina/vulva	Diseases of the genitourinary system	1.46462611750025
0.3091	Pregnancy, childbirth and the puerperium	O15_EXCESS_VOMIT_PREG	Excessive vomiting in pregnancy	0.02936	O15_EXCESS_VOMIT_PREG	Excessive vomiting in pregnancy	Pregnancy, childbirth and the puerperium	1.36219858355101
0.3072	Diseases of the respiratory system	J10_BRONCHIOLITIS	Acute bronchiolitis	0.02952	J10_BRONCHIOLITIS	Acute bronchiolitis	Diseases of the respiratory system	1.35961286345423
-0.155	Diseases of the nervous system	G6_ALZHEIMER	Alzheimer disease	0.03008	G6_ALZHEIMER	Alzheimer disease	Diseases of the nervous system	0.856415177483614
0.1384	Endocrine, nutritional and metabolic diseases	E4_OBESITYNAS	Obesity, other/unspecified	0.0301	E4_OBESITYNAS	Obesity, other/unspecified	Endocrine, nutritional and metabolic diseases	1.14843483234458
0.2068	Endocrine, nutritional and metabolic diseases	E4_DM2OPTH	Type 2 diabetes with ophthalmic complications	0.03022	E4_DM2OPTH	Type 2 diabetes with ophthalmic complications	Endocrine, nutritional and metabolic diseases	1.22973659986441
0.0984	Diseases of the musculoskeletal system and connective tissue	M13_ARTHTROSIS_COX	Coxarthrosis,	0.03045	M13_ARTHTROSIS_COX	Coxarthrosis,	Diseases of the musculoskeletal system and connective tissue	1.10340405847134
0.3057	Mental and behavioural disorders	F5_BEHEMOTH	Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence	0.03128	F5_BEHEMOTH	Other behavioural and emotional disorders with onset usually occuring in childhood and adolescence	Mental and behavioural disorders	1.35757497295902
-0.4086	Injury, poisoning and certain other consequences of external causes	ST19_TOXIC_EFFECT_CONTACT_W_VENOMO_ANIMALS	Toxic effect of contact with venomous animals	0.03146	ST19_TOXIC_EFFECT_CONTACT_W_VENOMO_ANIMALS	Toxic effect of contact with venomous animals	Injury, poisoning and certain other consequences of external causes	0.664580011167371
-0.2116	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_INVOLU_MOVEM	Abnormal involuntary movements	0.03164	R18_ABNORMAL_INVOLU_MOVEM	Abnormal involuntary movements	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.809288348171332
0.0589	Other	ANTIDEPRESSANTS	Depression medications	0.03236	ANTIDEPRESSANTS	Depression medications	Other	1.06066916851978
0.3378	Diseases of the circulatory system	I9_ANEUR	Endovascular or surgical operations to intracerebral aneurysms	0.03269	I9_ANEUR	Endovascular or surgical operations to intracerebral aneurysms	Diseases of the circulatory system	1.40186010334558
-0.1572	Neoplasms from hospital discharges	CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	0.03275	CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	Neoplasms from hospital discharges	0.854533135098863
0.0618	Diabetes endpoints	KELA_DIAB_INSUL_EXMORE	Diabetes, insuline treatment (Kela reimbursement) (more controls excluded)	0.03284	KELA_DIAB_INSUL_EXMORE	Diabetes, insuline treatment (Kela reimbursement) (more controls excluded)	Diabetes endpoints	1.06374957353692
0.1686	Diseases of the musculoskeletal system and connective tissue	M13_RHEUMATISM	Rheumatism, unspecified	0.03559	M13_RHEUMATISM	Rheumatism, unspecified	Diseases of the musculoskeletal system and connective tissue	1.18364658558538
0.0671	Endocrine, nutritional and metabolic diseases	E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications	0.03562	E4_DM2NASCOMP	Type 2 diabetes with other specified/multiple/unspecified complications	Endocrine, nutritional and metabolic diseases	1.06940241306907
0.0597	Diabetes endpoints	KELA_DIAB_INSUL	Diabetes, insuline treatment (Kela reimbursement)	0.03577	KELA_DIAB_INSUL	Diabetes, insuline treatment (Kela reimbursement)	Diabetes endpoints	1.06151804335926
0.347	Diseases of the digestive system	K11_CD_STRICT0	Crohn disease ( strict definition, all UC cases excluded)	0.03591	K11_CD_STRICT0	Crohn disease ( strict definition, all UC cases excluded)	Diseases of the digestive system	1.41481672537043
0.2886	Diseases of the musculoskeletal system and connective tissue	M13_SOFTTISSUENAS	Other specified/unspecified soft tissue disorders	0.03733	M13_SOFTTISSUENAS	Other specified/unspecified soft tissue disorders	Diseases of the musculoskeletal system and connective tissue	1.3345577986302
0.2327	Diseases of the circulatory system	I9_POSTAMI	Status post-ami	0.03773	I9_POSTAMI	Status post-ami	Diseases of the circulatory system	1.26200282168495
0.1384	Rheuma endpoints	PRIM_COXARTHROSIS	Primary coxarthrosis, bilateral	0.03874	PRIM_COXARTHROSIS	Primary coxarthrosis, bilateral	Rheuma endpoints	1.14843483234458
-0.7002	Diseases of the skin and subcutaneous tissue	L12_ERYTHRO_KELA	Universal eryhrodermia, KELA reimbursement	0.03987	L12_ERYTHRO_KELA	Universal eryhrodermia, KELA reimbursement	Diseases of the skin and subcutaneous tissue	0.496485996661695
-0.1883	Diseases of the musculoskeletal system and connective tissue	M13_MUSCULOSKELEOTH	Other disorders of the musculoskeletal system and connective tissue	0.04015	M13_MUSCULOSKELEOTH	Other disorders of the musculoskeletal system and connective tissue	Diseases of the musculoskeletal system and connective tissue	0.828366160104444
-0.5808	Diseases of the respiratory system	J10_PULMEOS	Pulmonary eosinophilia, not elsewhere classified	0.04093	J10_PULMEOS	Pulmonary eosinophilia, not elsewhere classified	Diseases of the respiratory system	0.559450626991859
0.0577	Diabetes endpoints	DM_OTHER_WIDE	Other diabetes, wide definition	0.041	DM_OTHER_WIDE	Other diabetes, wide definition	Diabetes endpoints	1.05939712889398
0.2126	Rheuma endpoints	GOUT_STRICT	Gout, strict definition	0.04119	GOUT_STRICT	Gout, strict definition	Rheuma endpoints	1.23688979636068
0.3924	Diabetes endpoints	DM_BCKGRND_RETINA_NONPROLIF	Severe non-proliferative background diabetic retinopathy	0.04137	DM_BCKGRND_RETINA_NONPROLIF	Severe non-proliferative background diabetic retinopathy	Diabetes endpoints	1.48052980489765
-0.0959	Diseases of the skin and subcutaneous tissue	L12_DISORDSKINAPPENDIX	Disorders of skin appendages	0.04154	L12_DISORDSKINAPPENDIX	Disorders of skin appendages	Diseases of the skin and subcutaneous tissue	0.908554867012785
-0.2126	Diseases of the ear and mastoid process	H8_MENIERE	Meniere disease	0.04288	H8_MENIERE	Meniere disease	Diseases of the ear and mastoid process	0.808479464332487
